Torobayo-UACH Miraflores - U San Sebastián - Barrio Flotante - Los Castaños - UACH Facea - Carampangue - Terminal Buses 
latitud, longitud
-39.83235, -73.26595
-39.83249, -73.26592
-39.83257, -73.26587
-39.8327, -73.26581
-39.83277, -73.26577
-39.83288, -73.26572
-39.83305, -73.26568
-39.83327, -73.26561
-39.83345, -73.26558
-39.83358, -73.26554
-39.83373, -73.26551
-39.83392, -73.2654
-39.83404, -73.26536
-39.83417, -73.2653
-39.83446, -73.26524
-39.8347, -73.26516
-39.83485, -73.2651
-39.83529, -73.26494
-39.83579, -73.26483
-39.83613, -73.26466
-39.83644, -73.26451
-39.83643, -73.26391
-39.83639, -73.26333
-39.83628, -73.26243
-39.83624, -73.2618
-39.83591, -73.2609
-39.8355, -73.26009
-39.8351, -73.25922
-39.83444, -73.25787
-39.83401, -73.2569
-39.83365, -73.25611
-39.83324, -73.2553
-39.83286, -73.2547
-39.83258, -73.25393
-39.83236, -73.25344
-39.83207, -73.25286
-39.83198, -73.25276
-39.83183, -73.25267
-39.83183, -73.25267
-39.8316, -73.25258
-39.8315, -73.25254
-39.83138, -73.25247
-39.83124, -73.25238
-39.83112, -73.25232
-39.83099, -73.25225
-39.83089, -73.25222
-39.83081, -73.25217
-39.83067, -73.25211
-39.83056, -73.25206
-39.83045, -73.25201
-39.83029, -73.25193
-39.83019, -73.25188
-39.83011, -73.25184
-39.83, -73.25184
-39.82989, -73.25186
-39.82977, -73.25189
-39.82964, -73.25192
-39.82955, -73.25194
-39.82942, -73.25197
-39.8293, -73.25199
-39.82918, -73.25202
-39.82908, -73.25206
-39.82899, -73.25208
-39.82886, -73.25212
-39.8287, -73.25215
-39.82859, -73.25218
-39.82849, -73.2522
-39.82842, -73.25221
-39.82834, -73.25224
-39.8282, -73.25228
-39.82809, -73.25231
-39.82795, -73.25234
-39.82786, -73.25235
-39.82773, -73.2524
-39.82763, -73.2524
-39.82753, -73.25243
-39.82743, -73.25246
-39.82734, -73.25248
-39.82725, -73.25251
-39.82716, -73.25252
-39.82709, -73.25253
-39.82703, -73.25252
-39.82698, -73.25249
-39.82682, -73.25246
-39.8266, -73.25241
-39.82637, -73.25233
-39.82612, -73.25225
-39.82577, -73.25215
-39.82547, -73.25205
-39.825, -73.25188
-39.82471, -73.25177
-39.82446, -73.25171
-39.82411, -73.25164
-39.82384, -73.25152
-39.82358, -73.25145
-39.82318, -73.25133
-39.82294, -73.25123
-39.82268, -73.25114
-39.82239, -73.25107
-39.82221, -73.25099
-39.82195, -73.25089
-39.82176, -73.25085
-39.8216, -73.2508
-39.82141, -73.25075
-39.82113, -73.25068
-39.8209, -73.25075
-39.82059, -73.25078
-39.82028, -73.25076
-39.81996, -73.25077
-39.8197, -73.25074
-39.81947, -73.25072
-39.81929, -73.25069
-39.819, -73.25059
-39.8186, -73.25048
-39.81838, -73.25042
-39.81812, -73.25036
-39.81793, -73.2503
-39.81764, -73.25023
-39.81739, -73.25015
-39.81715, -73.25007
-39.81688, -73.24997
-39.8166, -73.2499
-39.8164, -73.24983
-39.81618, -73.24978
-39.81597, -73.24972
-39.8158, -73.24967
-39.81561, -73.24956
-39.81548, -73.24948
-39.81529, -73.2494
-39.81509, -73.24928
-39.81501, -73.24916
-39.81493, -73.24904
-39.81483, -73.24919
-39.81477, -73.24935
-39.81469, -73.2495
-39.8146, -73.24964
-39.81455, -73.24974
-39.81448, -73.24987
-39.81443, -73.24998
-39.81437, -73.25008
-39.81431, -73.25022
-39.81424, -73.25035
-39.81413, -73.25024
-39.81383, -73.25019
-39.81363, -73.25022
-39.81345, -73.25013
-39.81327, -73.25006
-39.81299, -73.24993
-39.81276, -73.24982
-39.81258, -73.24974
-39.81239, -73.24965
-39.8122, -73.24955
-39.81201, -73.24947
-39.81173, -73.24947
-39.81135, -73.24949
-39.81108, -73.2495
-39.81089, -73.24953
-39.81075, -73.24953
-39.81058, -73.24957
-39.81052, -73.24958
-39.81044, -73.24904
-39.81027, -73.24858
-39.81001, -73.24798
-39.80977, -73.2474
-39.80949, -73.24681
-39.80909, -73.24616
-39.80881, -73.24586
-39.80853, -73.24549
-39.80839, -73.24509
-39.80839, -73.24464
-39.80853, -73.24406
-39.80869, -73.24361
-39.80882, -73.24346
-39.80896, -73.24324
-39.80908, -73.24311
-39.80914, -73.24301
-39.80922, -73.24287
-39.80932, -73.24269
-39.80936, -73.24242
-39.80938, -73.2421
-39.80943, -73.24186
-39.80952, -73.24159
-39.8096, -73.24129
-39.80969, -73.24102
-39.80987, -73.2406
-39.81007, -73.2402
-39.81027, -73.24001
-39.81049, -73.23975
-39.81068, -73.23934
-39.81098, -73.23911
-39.81112, -73.23874
-39.81131, -73.23839
-39.81151, -73.23821
-39.81173, -73.23791
-39.81185, -73.23768
-39.81202, -73.23745
-39.81221, -73.23726
-39.81259, -73.2368
-39.81277, -73.23662
-39.81289, -73.23647
-39.813, -73.23631
-39.81314, -73.23619
-39.81326, -73.23605
-39.81334, -73.23598
-39.81345, -73.23585
-39.81353, -73.23576
-39.81362, -73.23564
-39.81368, -73.23555
-39.81374, -73.23548
-39.81379, -73.23544
-39.81381, -73.23539
