UACH Miraflores - U San Sebastián - Barrio Flotante - Los Castaños - UACH Facea - Carampangue - Terminal Buses - Collico
latitud, longitud
-39.83207, -73.25286
-39.83198, -73.25276
-39.83183, -73.25267
-39.83183, -73.25267
-39.8316, -73.25258
-39.8315, -73.25254
-39.83138, -73.25247
-39.83124, -73.25238
-39.83112, -73.25232
-39.83099, -73.25225
-39.83089, -73.25222
-39.83081, -73.25217
-39.83067, -73.25211
-39.83056, -73.25206
-39.83045, -73.25201
-39.83029, -73.25193
-39.83019, -73.25188
-39.83011, -73.25184
-39.83, -73.25184
-39.82989, -73.25186
-39.82977, -73.25189
-39.82964, -73.25192
-39.82955, -73.25194
-39.82942, -73.25197
-39.8293, -73.25199
-39.82918, -73.25202
-39.82908, -73.25206
-39.82899, -73.25208
-39.82886, -73.25212
-39.8287, -73.25215
-39.82859, -73.25218
-39.82849, -73.2522
-39.82842, -73.25221
-39.82834, -73.25224
-39.8282, -73.25228
-39.82809, -73.25231
-39.82795, -73.25234
-39.82786, -73.25235
-39.82773, -73.2524
-39.82763, -73.2524
-39.82753, -73.25243
-39.82743, -73.25246
-39.82734, -73.25248
-39.82725, -73.25251
-39.82716, -73.25252
-39.82709, -73.25253
-39.82703, -73.25252
-39.82698, -73.25249
-39.82682, -73.25246
-39.8266, -73.25241
-39.82637, -73.25233
-39.82612, -73.25225
-39.82577, -73.25215
-39.82547, -73.25205
-39.825, -73.25188
-39.82471, -73.25177
-39.82446, -73.25171
-39.82411, -73.25164
-39.82384, -73.25152
-39.82358, -73.25145
-39.82318, -73.25133
-39.82294, -73.25123
-39.82268, -73.25114
-39.82239, -73.25107
-39.82221, -73.25099
-39.82195, -73.25089
-39.82176, -73.25085
-39.8216, -73.2508
-39.82141, -73.25075
-39.82113, -73.25068
-39.8209, -73.25075
-39.82059, -73.25078
-39.82028, -73.25076
-39.81996, -73.25077
-39.8197, -73.25074
-39.81947, -73.25072
-39.81929, -73.25069
-39.819, -73.25059
-39.8186, -73.25048
-39.81838, -73.25042
-39.81812, -73.25036
-39.81793, -73.2503
-39.81764, -73.25023
-39.81739, -73.25015
-39.81715, -73.25007
-39.81688, -73.24997
-39.8166, -73.2499
-39.8164, -73.24983
-39.81618, -73.24978
-39.81597, -73.24972
-39.8158, -73.24967
-39.81561, -73.24956
-39.81548, -73.24948
-39.81529, -73.2494
-39.81509, -73.24928
-39.81501, -73.24916
-39.81493, -73.24904
-39.81483, -73.24919
-39.81477, -73.24935
-39.81469, -73.2495
-39.8146, -73.24964
-39.81455, -73.24974
-39.81448, -73.24987
-39.81443, -73.24998
-39.81437, -73.25008
-39.81431, -73.25022
-39.81424, -73.25035
-39.81413, -73.25024
-39.81383, -73.25019
-39.81363, -73.25022
-39.81345, -73.25013
-39.81327, -73.25006
-39.81299, -73.24993
-39.81276, -73.24982
-39.81258, -73.24974
-39.81239, -73.24965
-39.8122, -73.24955
-39.81201, -73.24947
-39.81173, -73.24947
-39.81135, -73.24949
-39.81108, -73.2495
-39.81089, -73.24953
-39.81075, -73.24953
-39.81058, -73.24957
-39.81052, -73.24958
-39.81044, -73.24904
-39.81027, -73.24858
-39.81001, -73.24798
-39.80977, -73.2474
-39.80949, -73.24681
-39.80909, -73.24616
-39.80881, -73.24586
-39.80853, -73.24549
-39.80839, -73.24509
-39.80839, -73.24464
-39.80853, -73.24406
-39.80869, -73.24361
-39.80882, -73.24346
-39.80896, -73.24324
-39.80908, -73.24311
-39.80914, -73.24301
-39.80922, -73.24287
-39.80932, -73.24269
-39.80936, -73.24242
-39.80938, -73.2421
-39.80943, -73.24186
-39.80952, -73.24159
-39.8096, -73.24129
-39.80969, -73.24102
-39.80987, -73.2406
-39.81007, -73.2402
-39.81027, -73.24001
-39.81049, -73.23975
-39.81068, -73.23934
-39.81098, -73.23911
-39.81112, -73.23874
-39.81131, -73.23839
-39.81151, -73.23821
-39.81173, -73.23791
-39.81185, -73.23768
-39.81202, -73.23745
-39.81221, -73.23726
-39.81259, -73.2368
-39.81277, -73.23662
-39.81289, -73.23647
-39.813, -73.23631
-39.81314, -73.23619
-39.81326, -73.23605
-39.81334, -73.23598
-39.81345, -73.23585
-39.81353, -73.23576
-39.81362, -73.23564
-39.81368, -73.23555
-39.81374, -73.23548
-39.81379, -73.23544
-39.81381, -73.23539
-39.8139, -73.2352
-39.81403, -73.2346
-39.8141, -73.23438
-39.81413, -73.23422
-39.81415, -73.23408
-39.81422, -73.23392
-39.81426, -73.23377
-39.81429, -73.23363
-39.81435, -73.23343
-39.8144, -73.23324
-39.81446, -73.23309
-39.81449, -73.23293
-39.81456, -73.23269
-39.81459, -73.23253
-39.81463, -73.23237
-39.81469, -73.23219
-39.81474, -73.23206
-39.81483, -73.23193
-39.81496, -73.2318
-39.81512, -73.23168
-39.81523, -73.23157
-39.81536, -73.23143
-39.81541, -73.23139
-39.81552, -73.23127
-39.81558, -73.23119
-39.81563, -73.23114
-39.81569, -73.23109
-39.81578, -73.231
-39.81584, -73.23095
-39.81588, -73.23088
-39.81592, -73.23084
-39.81598, -73.23079
-39.81606, -73.23071
-39.81612, -73.23065
-39.81621, -73.23057
-39.81632, -73.23045
-39.8164, -73.23037
-39.81646, -73.23026
-39.81655, -73.2302
-39.8166, -73.23015
-39.81676, -73.22999
-39.81685, -73.22989
-39.817, -73.22977
-39.8171, -73.22963
-39.81716, -73.22957
-39.81724, -73.22946
-39.81739, -73.22934
-39.81749, -73.22925
-39.81759, -73.22915
-39.81767, -73.22904
-39.8178, -73.22894
-39.81793, -73.22875
-39.8181, -73.22859
-39.81826, -73.22847
-39.81844, -73.22828
-39.81862, -73.22809
-39.81878, -73.22791
-39.81897, -73.22774
-39.81915, -73.22755
-39.81929, -73.22739
-39.81944, -73.22721
-39.81958, -73.2271
-39.81969, -73.22699
-39.81983, -73.22687
-39.81994, -73.22675
-39.82, -73.22669
-39.82009, -73.22662
-39.82016, -73.22654
-39.82024, -73.22644
-39.82033, -73.22637
-39.82037, -73.22632
-39.8205, -73.22621
-39.82057, -73.22612
-39.82065, -73.22602
-39.82072, -73.22596
-39.8208, -73.22587
-39.82086, -73.22581
-39.8209, -73.22567
-39.82091, -73.22552
-39.82078, -73.22488
-39.82059, -73.22426
-39.8205, -73.22377
-39.82041, -73.22345
-39.82029, -73.22308
-39.82016, -73.22259
-39.82003, -73.22217
-39.81992, -73.22189
-39.81988, -73.22112
-39.81974, -73.22059
-39.81958, -73.2202
-39.81942, -73.21964
-39.81939, -73.21914
-39.81924, -73.21832
-39.81894, -73.21785
-39.81871, -73.2176
-39.81845, -73.21728
-39.81823, -73.21698
-39.81808, -73.21685
-39.81797, -73.21676
-39.81768, -73.21645
-39.8173, -73.21615
-39.81696, -73.21578
-39.81667, -73.21553
-39.81641, -73.21514
-39.81607, -73.21476
-39.81573, -73.2145
-39.81548, -73.21432
-39.81529, -73.21414
-39.81498, -73.21392
-39.81469, -73.21374
-39.81443, -73.21353
-39.81421, -73.21334
-39.81401, -73.21316
-39.81377, -73.213
-39.81355, -73.2128
-39.8134, -73.21266
-39.81316, -73.21248
-39.81292, -73.21229
-39.81262, -73.21213
-39.81241, -73.21194
-39.81223, -73.21181
-39.81207, -73.2117
-39.81194, -73.2116
-39.81176, -73.21151
-39.81159, -73.21141
-39.81133, -73.21123
-39.81116, -73.21101
-39.81101, -73.21081
-39.81086, -73.21067
-39.81067, -73.21055
-39.81056, -73.21041
-39.81047, -73.21036
-39.8104, -73.21031
-39.81031, -73.21024
-39.81026, -73.21022
-39.81019, -73.21018
-39.81011, -73.21013
-39.81004, -73.21008
-39.80999, -73.21004
-39.80991, -73.21
-39.80983, -73.20994
-39.80977, -73.2099
-39.80971, -73.20985
-39.80962, -73.2098
-39.80956, -73.20976
-39.8095, -73.20972
-39.80942, -73.20967
-39.80935, -73.20963
-39.80931, -73.20961









